auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
5.12 11.98 13.10 11.80
20.62 4.94 5.41 4.91
7.42 27.41 29.86 27.40
5.81 10.05 10.88 9.90
-- -- 16.05 --
7.87 67.77 75.90 66.00
142.21 23.30 23.64 21.45
17.94 5.28 5.71 5.11
77.83 8.92 9.60 8.76
34.43 6.34 6.82 6.22
19.77 8.25 9.13 8.24
7.37 7.56 8.36 7.52
38.47 6.03 6.68 5.99
18.83 3.65 4.00 3.60
43.84 5.45 6.02 5.45
28.36 32.30 34.86 31.58
22.60 5.60 6.22 5.60
25.23 8.57 9.44 8.48
11.70 10.66 11.79 10.48
17.63 5.30 5.83 5.25
29.59 4.66 5.14 4.66
2.80 8.16 8.89 8.15
2.85 13.08 14.14 12.81
28.99 15.46 17.05 15.35
5.36 11.13 12.19 11.08
25.87 5.82 6.33 5.66
7.62 7.49 7.78 7.00
6.51 28.14 30.13 27.35
36.32 2.94 3.20 2.88
9.80 8.97 8.97 8.97
114.59 7.17 7.17 6.44
112.32 27.90 30.88 27.90
3.22 9.36 9.36 9.36
242.50 12.17 12.49 11.24
6.78 951.90 995.50 903.00
2.67 15.59 17.15 15.59
14.56 17.80 19.00 17.26
109.42 10.68 11.24 10.20
7.25 13.00 14.41 12.94
81.49 7.85 8.69 7.80
38.88 6.25 6.29 5.60
39.48 2.85 3.00 2.73
112.53 14.53 15.05 14.00
4.40 26.19 28.15 25.48
10.20 6.35 6.90 6.23
23.29 5.10 5.61 5.06
29.98 6.65 7.38 6.58
45.79 4.17 4.40 3.96
25.70 24.60 26.16 23.61
47.24 62.30 62.81 56.90
12.58 4.17 4.55 4.14
7.10 5.52 6.01 5.44
2.26 8.17 8.22 7.86
8.84 5.35 5.92 5.32
9.85 8.32 9.00 8.17
15.55 8.82 9.49 8.52
54.76 5.85 6.26 5.57
25.08 31.53 34.09 31.15
5.80 10.98 12.02 10.93
14.46 15.59 17.11 15.50
10.89 4.97 5.48 4.95
2.25 10.78 11.81 10.60
20.31 5.76 6.37 5.76
-- -- -- --
88.59 4.07 4.07 3.70
3.57 8.32 8.76 8.32
13.87 15.20 15.29 13.96
10.11 4.57 4.99 4.50
12.52 20.29 21.85 19.50
7.70 10.85 12.00 10.78
5.63 7.38 8.09 7.27
5.94 18.40 20.48 18.36
2.12 47.72 52.25 47.50
59.34 5.18 5.61 5.10
